LastReportDate,Sex,NZAgeGroup,Cases
2021-09-24,,20-34,1
2021-09-28,Female,5-19,394
2021-09-28,,35-49,1
2021-09-28,Female,<1,10
2021-09-28,Male,20-34,733
2021-04-06,Male,>=80,21
2021-09-26,Female,65-79,109
2021-09-28,Male,35-49,446
2021-09-28,Male,1-4,67
2021-09-28,Male,5-19,343
2021-09-28,Female,20-34,744
2021-09-28,Female,50-64,336
2021-09-28,Female,35-49,395
2021-08-31,Female,>=80,24
2021-09-28,Male,<1,25
2021-07-06,Unknown,35-49,2
2021-09-29,Male,65-79,143
2021-09-28,Female,1-4,88
2021-09-28,Male,50-64,366
