LastReportDate,Sex,NZAgeGroup,Cases
2021-11-16,,20-34,3
2021-11-18,Unknown,20-34,9
2021-11-19,Female,5-19,1017
2021-11-18,Female,<1,54
2021-11-19,Male,20-34,1546
2021-11-16,Male,>=80,32
2021-11-17,Unknown,5-19,2
2021-11-18,Female,65-79,182
2021-11-18,Male,35-49,1018
2021-11-19,Male,1-4,258
2021-11-19,Male,5-19,1030
2021-11-19,Female,20-34,1599
2021-11-19,Female,50-64,636
2021-11-19,Female,35-49,943
2021-11-16,Female,>=80,51
2021-11-14,Unknown,1-4,2
2021-11-19,Male,<1,78
2021-11-17,Unknown,35-49,3
2021-11-18,Female,1-4,270
2021-11-18,Male,65-79,220
2021-11-14,,Unknown,1
2021-11-18,Unknown,Unknown,1
2021-11-18,Male,50-64,698
