LastReportDate,Sex,NZAgeGroup,Cases
2021-11-12,,20-34,2
2021-11-11,Unknown,20-34,7
2021-11-12,Female,5-19,852
2021-11-13,Female,<1,42
2021-11-12,Male,20-34,1388
2021-11-12,Male,>=80,29
2021-10-06,Unknown,5-19,1
2021-11-12,Female,65-79,164
2021-11-12,Male,35-49,932
2021-11-12,Male,1-4,214
2021-11-12,Male,5-19,841
2021-11-12,Female,20-34,1412
2021-11-11,Female,50-64,583
2021-11-12,Female,35-49,829
2021-11-12,Female,>=80,49
2021-11-10,Male,<1,61
2021-07-06,Unknown,35-49,2
2021-11-12,Male,65-79,205
2021-11-12,Female,1-4,224
2021-11-13,Male,50-64,645
