LastReportDate,Sex,NZAgeGroup,Cases
2021-08-27,,20-34,3
2021-08-31,Female,5-19,301
2021-08-27,Female,<1,6
2021-08-30,Male,20-34,635
2021-04-06,Male,>=80,21
2021-08-30,Female,65-79,99
2021-08-30,Male,35-49,396
2021-08-29,Male,1-4,42
2021-08-28,,50-64,2
2021-08-30,Male,5-19,219
2021-08-31,Female,20-34,630
2021-08-30,Female,50-64,298
2021-08-30,Female,35-49,348
2021-08-29,,5-19,2
2021-08-19,Female,>=80,23
2021-08-30,Male,<1,15
2021-07-06,Unknown,35-49,2
2021-08-28,Male,65-79,137
2021-08-29,Female,1-4,57
2021-08-30,Male,50-64,333
