LastReportDate,Sex,NZAgeGroup,Cases
2021-11-16,,20-34,3
2021-11-13,Unknown,20-34,8
2021-11-17,Female,5-19,991
2021-11-17,Female,<1,52
2021-11-17,Male,20-34,1518
2021-11-16,Male,>=80,32
2021-11-17,Unknown,5-19,2
2021-11-18,Female,65-79,181
2021-11-17,Male,35-49,1004
2021-11-17,Male,1-4,253
2021-11-17,Male,5-19,998
2021-11-18,Female,20-34,1567
2021-11-17,Female,50-64,632
2021-11-17,Female,35-49,919
2021-11-16,Female,>=80,51
2021-11-14,Unknown,1-4,2
2021-11-17,Male,<1,74
2021-11-17,Unknown,35-49,3
2021-11-17,Male,65-79,218
2021-11-17,Female,1-4,261
2021-11-14,,Unknown,1
2021-11-17,Male,50-64,686
