LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-21,Female,5-19,510
2021-10-21,Female,<1,20
2021-10-21,Male,20-34,906
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-21,Female,65-79,121
2021-10-21,Male,35-49,601
2021-10-21,Male,1-4,118
2021-10-21,Male,5-19,468
2021-10-21,Female,20-34,941
2021-10-21,Female,50-64,398
2021-10-21,Female,35-49,540
2021-10-21,Female,>=80,28
2021-10-21,Male,<1,38
2021-07-06,Unknown,35-49,2
2021-10-21,Female,1-4,121
2021-10-22,Male,65-79,160
2021-10-21,Male,50-64,453
