LastReportDate,Sex,NZAgeGroup,Cases
2022-01-16,,20-34,2
2022-01-28,Unknown,20-34,13
2022-01-29,Female,Unknown,2
2022-02-08,Female,5-19,2178
2022-02-05,,35-49,4
2022-02-08,Female,<1,142
2022-02-08,Male,20-34,2869
2022-02-08,Male,>=80,49
2022-02-04,Unknown,5-19,9
2022-02-08,Female,65-79,339
2022-02-08,Male,35-49,1875
2022-02-08,Male,1-4,574
2022-01-12,Unknown,50-64,2
2022-02-01,,50-64,1
2022-02-08,Male,5-19,2171
2022-02-06,Male,Unknown,2
2022-02-08,Female,20-34,2950
2022-02-08,Female,50-64,1122
2022-02-08,Female,35-49,1778
2022-01-11,,5-19,2
2022-02-08,Female,>=80,78
2022-01-15,Unknown,1-4,4
2022-02-08,Male,<1,166
2022-01-15,Unknown,35-49,5
2022-02-08,Female,1-4,612
2022-02-08,Male,65-79,376
2022-02-04,,Unknown,4
2022-01-29,Unknown,<1,1
2022-02-08,Male,50-64,1174
