LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-10-18,Female,5-19,475
2021-10-17,Female,<1,18
2021-10-19,Male,20-34,856
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-18,Female,65-79,116
2021-10-19,Male,35-49,565
2021-10-18,Male,1-4,106
2021-10-16,,50-64,1
2021-10-18,Male,5-19,439
2021-10-19,Female,20-34,894
2021-10-18,Female,50-64,384
2021-10-18,Female,35-49,512
2021-10-13,Female,>=80,27
2021-10-17,Male,<1,34
2021-07-06,Unknown,35-49,2
2021-10-18,Male,65-79,154
2021-10-18,Female,1-4,112
2021-10-18,Male,50-64,434
