LastReportDate,Sex,NZAgeGroup,Cases
2021-11-26,,20-34,3
2021-12-02,Unknown,20-34,12
2021-12-04,Female,5-19,1374
2021-12-04,Female,<1,91
2021-12-04,Male,20-34,1936
2021-11-25,Male,>=80,33
2021-12-01,Unknown,5-19,5
2021-12-04,Female,65-79,217
2021-12-04,Male,35-49,1229
2021-12-04,Male,1-4,393
2021-11-24,Unknown,50-64,1
2021-12-05,Male,5-19,1392
2021-11-28,Male,Unknown,1
2021-12-04,Female,20-34,1992
2021-12-04,Female,50-64,744
2021-12-04,Female,35-49,1139
2021-12-03,Female,>=80,58
2021-11-14,Unknown,1-4,2
2021-12-04,Male,<1,108
2021-11-25,Unknown,35-49,4
2021-12-04,Female,1-4,405
2021-12-04,Male,65-79,258
2021-11-18,Unknown,Unknown,1
2021-12-04,Male,50-64,798
