LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-02,Unknown,20-34,4
2021-11-10,Female,5-19,785
2021-11-09,Female,<1,40
2021-11-09,Male,20-34,1294
2021-11-06,Male,>=80,28
2021-10-06,Unknown,5-19,1
2021-11-09,Female,65-79,150
2021-11-09,Male,35-49,877
2021-11-09,Male,1-4,196
2021-11-09,Male,5-19,753
2021-11-10,Female,20-34,1327
2021-11-09,Female,50-64,554
2021-11-09,Female,35-49,784
2021-11-09,Female,>=80,46
2021-11-09,Male,<1,58
2021-07-06,Unknown,35-49,2
2021-11-09,Female,1-4,206
2021-11-07,Male,65-79,197
2021-11-09,Male,50-64,619
