LastReportDate,Sex,NZAgeGroup,Cases
2021-10-13,Female,5-19,448
2021-10-13,Female,<1,16
2021-10-14,Male,20-34,809
2021-10-12,Male,>=80,22
2021-10-06,Unknown,5-19,1
2021-10-11,Female,65-79,112
2021-10-13,Male,35-49,525
2021-10-13,Male,1-4,97
2021-10-13,Male,5-19,412
2021-10-13,Female,20-34,834
2021-10-13,Female,50-64,369
2021-10-13,Female,35-49,465
2021-10-13,Female,>=80,27
2021-10-13,Male,<1,30
2021-07-06,Unknown,35-49,2
2021-10-13,Female,1-4,102
2021-10-12,Male,65-79,146
2021-10-13,Male,50-64,414
