LastReportDate,Sex,NZAgeGroup,Cases
2021-12-02,Female,<1,87
2021-12-01,Male,<1,106
2021-12-03,Female,>=80,58
2021-11-25,Male,>=80,33
2021-12-03,Female,1-4,401
2021-12-03,Male,1-4,391
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-03,Female,20-34,1979
2021-12-03,Male,20-34,1914
2021-12-02,Unknown,20-34,12
2021-12-03,Female,35-49,1130
2021-12-03,Male,35-49,1221
2021-11-25,Unknown,35-49,4
2021-12-03,Female,5-19,1358
2021-12-03,Male,5-19,1375
2021-12-01,Unknown,5-19,5
2021-12-03,Female,50-64,742
2021-12-04,Male,50-64,794
2021-11-24,Unknown,50-64,1
2021-12-03,Female,65-79,214
2021-12-03,Male,65-79,256
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
