LastReportDate,Sex,NZAgeGroup,Cases
2021-08-27,,20-34,2
2021-08-30,Female,5-19,285
2021-08-27,Female,<1,6
2021-08-29,Male,20-34,630
2021-04-06,Male,>=80,21
2021-08-30,Female,65-79,99
2021-08-29,Male,35-49,391
2021-08-29,Male,1-4,42
2021-08-28,,50-64,2
2021-08-29,Male,5-19,209
2021-08-29,Female,20-34,625
2021-08-29,Female,50-64,295
2021-08-29,Female,35-49,347
2021-08-29,,5-19,2
2021-08-19,Female,>=80,23
2021-08-29,Male,<1,14
2021-07-06,Unknown,35-49,2
2021-08-28,Male,65-79,137
2021-08-29,Female,1-4,57
2021-08-29,Male,50-64,330
