LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-10,Unknown,20-34,6
2021-11-11,Female,5-19,829
2021-11-10,Female,<1,41
2021-11-11,Male,20-34,1355
2021-11-06,Male,>=80,28
2021-10-06,Unknown,5-19,1
2021-11-11,Female,65-79,158
2021-11-11,Male,35-49,912
2021-11-11,Male,1-4,205
2021-11-11,Male,5-19,812
2021-11-12,Female,20-34,1385
2021-11-11,Female,50-64,581
2021-11-11,Female,35-49,819
2021-11-09,Female,>=80,47
2021-11-10,Male,<1,61
2021-07-06,Unknown,35-49,2
2021-11-11,Female,1-4,219
2021-11-11,Male,65-79,204
2021-11-11,Male,50-64,640
