LastReportDate,Sex,NZAgeGroup,Cases
2021-11-24,Female,<1,76
2021-11-24,Male,<1,92
2021-11-23,Female,>=80,54
2021-11-16,Male,>=80,32
2021-11-24,Female,1-4,347
2021-11-24,Male,1-4,315
2021-11-14,Unknown,1-4,2
2021-11-16,,20-34,2
2021-11-25,Female,20-34,1789
2021-11-24,Male,20-34,1716
2021-11-19,Unknown,20-34,10
2021-11-25,Female,35-49,1038
2021-11-25,Male,35-49,1111
2021-11-17,Unknown,35-49,3
2021-11-24,Female,5-19,1171
2021-11-25,Male,5-19,1180
2021-11-21,Unknown,5-19,3
2021-11-24,Female,50-64,693
2021-11-24,Male,50-64,738
2021-11-24,Unknown,50-64,1
2021-11-24,Female,65-79,198
2021-11-23,Male,65-79,233
2021-11-14,,Unknown,1
2021-11-18,Unknown,Unknown,1
