LastReportDate,Sex,NZAgeGroup,Cases
2021-11-16,,20-34,3
2021-11-13,Unknown,20-34,8
2021-11-17,Female,5-19,963
2021-11-16,Female,<1,51
2021-11-17,Male,20-34,1494
2021-11-16,Male,>=80,32
2021-10-06,Unknown,5-19,1
2021-11-16,Female,65-79,178
2021-11-16,Male,35-49,994
2021-11-16,Male,1-4,246
2021-11-16,Male,5-19,970
2021-11-17,Female,20-34,1548
2021-11-16,Female,50-64,623
2021-11-16,Female,35-49,900
2021-11-16,Female,>=80,51
2021-11-14,Unknown,1-4,2
2021-11-16,Male,<1,69
2021-07-06,Unknown,35-49,2
2021-11-16,Male,65-79,217
2021-11-17,Female,1-4,256
2021-11-14,,Unknown,1
2021-11-17,Male,50-64,676
