LastReportDate,Sex,NZAgeGroup,Cases
2021-12-06,Female,<1,96
2021-12-07,Male,<1,114
2021-12-03,Female,>=80,58
2021-11-25,Male,>=80,33
2021-12-07,Female,1-4,414
2021-12-06,Male,1-4,404
2021-11-14,Unknown,1-4,2
2021-11-26,,20-34,3
2021-12-07,Female,20-34,2021
2021-12-07,Male,20-34,1974
2021-12-02,Unknown,20-34,12
2021-12-07,Female,35-49,1157
2021-12-07,Male,35-49,1255
2021-11-25,Unknown,35-49,4
2021-12-07,Female,5-19,1408
2021-12-07,Male,5-19,1425
2021-12-01,Unknown,5-19,5
2021-12-07,Female,50-64,756
2021-12-06,Male,50-64,805
2021-11-24,Unknown,50-64,1
2021-12-05,Female,65-79,218
2021-12-06,Male,65-79,262
2021-11-28,Male,Unknown,1
2021-11-18,Unknown,Unknown,1
