LastReportDate,Sex,NZAgeGroup,Cases
2021-11-22,Female,<1,72
2021-11-22,Male,<1,88
2021-11-21,Female,>=80,53
2021-11-16,Male,>=80,32
2021-11-22,,1-4,2
2021-11-23,Female,1-4,316
2021-11-23,Male,1-4,299
2021-11-14,Unknown,1-4,2
2021-11-22,,20-34,3
2021-11-23,Female,20-34,1714
2021-11-22,Male,20-34,1659
2021-11-19,Unknown,20-34,10
2021-11-22,Female,35-49,995
2021-11-23,Male,35-49,1075
2021-11-17,Unknown,35-49,3
2021-11-22,Female,5-19,1116
2021-11-22,Male,5-19,1128
2021-11-21,Unknown,5-19,3
2021-11-22,Female,50-64,671
2021-11-22,Male,50-64,726
2021-11-22,Female,65-79,193
2021-11-22,Male,65-79,230
2021-11-23,,Unknown,2
2021-11-18,Unknown,Unknown,1
