LastReportDate,Sex,NZAgeGroup,Cases
2021-11-16,,20-34,2
2021-11-19,Unknown,20-34,10
2021-11-21,Female,5-19,1083
2021-11-21,Female,<1,65
2021-11-21,Male,20-34,1620
2021-11-16,Male,>=80,32
2021-11-21,Unknown,5-19,3
2021-11-20,Female,65-79,189
2021-11-21,Male,35-49,1065
2021-11-21,Male,1-4,284
2021-11-21,Male,5-19,1093
2021-11-22,Female,20-34,1684
2021-11-21,Female,50-64,665
2021-11-21,Female,35-49,984
2021-11-21,Female,>=80,53
2021-11-14,Unknown,1-4,2
2021-11-21,Male,<1,84
2021-11-17,Unknown,35-49,3
2021-11-21,Male,65-79,229
2021-11-22,Female,1-4,305
2021-11-14,,Unknown,1
2021-11-18,Unknown,Unknown,1
2021-11-21,Male,50-64,720
