LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-02,Unknown,20-34,4
2021-11-03,Female,5-19,675
2021-11-01,Female,<1,34
2021-11-03,Male,20-34,1150
2021-11-01,Male,>=80,27
2021-10-06,Unknown,5-19,1
2021-11-03,Female,65-79,139
2021-11-03,Male,35-49,780
2021-11-03,Male,1-4,162
2021-11-03,Male,5-19,622
2021-11-03,Female,20-34,1167
2021-11-03,Female,50-64,497
2021-11-03,Female,35-49,698
2021-11-03,Female,>=80,41
2021-10-31,Male,<1,50
2021-07-06,Unknown,35-49,2
2021-11-03,Male,65-79,186
2021-11-03,Female,1-4,173
2021-11-03,Male,50-64,563
