LastReportDate,Sex,NZAgeGroup,Cases
2021-07-23,,20-34,1
2021-07-15,Female,5-19,185
2021-06-27,,35-49,1
2021-04-26,Female,<1,4
2021-07-24,Male,20-34,523
2021-04-06,Male,>=80,21
2021-04-10,Female,65-79,84
2021-07-23,Male,35-49,339
2021-07-16,Male,1-4,31
2021-07-12,Male,5-19,122
2021-07-26,Female,20-34,531
2021-07-23,Female,50-64,252
2021-07-21,Female,35-49,292
2021-04-23,Female,>=80,22
2021-07-16,Male,<1,11
2021-07-06,Unknown,35-49,2
2021-07-11,Male,65-79,123
2021-07-04,Female,1-4,37
2021-07-21,Male,50-64,282
