LastReportDate,Sex,NZAgeGroup,Cases
2021-08-25,,20-34,1
2021-08-25,Female,5-19,236
2021-08-25,Female,<1,5
2021-08-26,Male,20-34,588
2021-04-06,Male,>=80,21
2021-08-25,Female,65-79,93
2021-08-26,Male,35-49,370
2021-08-25,Male,1-4,37
2021-08-26,Male,5-19,167
2021-08-26,Female,20-34,587
2021-08-25,Female,50-64,274
2021-08-25,Female,35-49,321
2021-08-26,,5-19,1
2021-08-19,Female,>=80,23
2021-08-24,Male,<1,13
2021-07-06,Unknown,35-49,2
2021-08-25,Male,65-79,133
2021-08-24,Female,1-4,45
2021-08-25,,Unknown,1
2021-08-25,Male,50-64,309
