LastReportDate,Sex,NZAgeGroup,Cases
2021-09-10,,20-34,1
2021-09-11,Female,Unknown,1
2021-09-12,Female,5-19,346
2021-09-10,,35-49,1
2021-09-12,Female,<1,7
2021-09-12,Male,20-34,694
2021-04-06,Male,>=80,21
2021-09-07,Female,65-79,102
2021-09-11,Male,35-49,419
2021-09-10,Male,1-4,52
2021-09-11,Male,5-19,281
2021-09-12,Female,20-34,695
2021-09-11,Female,50-64,319
2021-09-10,Female,35-49,369
2021-09-09,,5-19,3
2021-08-31,Female,>=80,24
2021-09-12,Male,<1,19
2021-07-06,Unknown,35-49,2
2021-09-11,Male,65-79,140
2021-09-10,Female,1-4,68
2021-09-10,Male,50-64,349
