LastReportDate,Sex,NZAgeGroup,Cases
2021-10-14,,20-34,1
2021-11-02,Unknown,20-34,4
2021-11-04,Female,5-19,693
2021-11-01,Female,<1,34
2021-11-04,Male,20-34,1177
2021-11-01,Male,>=80,27
2021-10-06,Unknown,5-19,1
2021-11-04,Female,65-79,141
2021-11-04,Male,35-49,799
2021-11-04,Male,1-4,170
2021-11-04,Male,5-19,641
2021-11-05,Female,20-34,1196
2021-11-04,Female,50-64,508
2021-11-04,Female,35-49,714
2021-11-04,Female,>=80,42
2021-10-31,Male,<1,50
2021-07-06,Unknown,35-49,2
2021-11-04,Female,1-4,176
2021-11-04,Male,65-79,188
2021-11-04,Male,50-64,574
