LastReportDate,Ethnicity,Cases
2021-10-01,Unknown,28
2021-09-29,Middle Eastern/Latin American/African,174
2021-10-02,Maori,455
2021-10-01,European or Other,1676
2021-10-02,Pacific Peoples,1044
2021-10-02,Asian,942
