LastReportDate,Ethnicity,Cases
2022-02-09,Unknown,380
2022-02-09,Middle Eastern/Latin American/African,529
2022-02-09,Maori,5746
2022-02-09,European or Other,4756
2022-02-09,Pacific Peoples,4162
2022-02-09,Asian,3265
