LastReportDate,Ethnicity,Cases
2021-09-18,Unknown,29
2021-09-16,Middle Eastern/Latin American/African,167
2021-09-19,Maori,349
2021-09-17,European or Other,1651
2021-09-18,Pacific Peoples,939
2021-09-18,Asian,925
