LastReportDate,Ethnicity,Cases
2021-11-27,Asian,1315
2021-11-28,European or Other,3160
2021-11-28,Maori,3831
2021-11-27,Middle Eastern/Latin American/African,269
2021-11-27,Pacific Peoples,2540
2021-11-27,Unknown,146
