LastReportDate,Ethnicity,Cases
2021-11-17,Unknown,107
2021-11-15,Middle Eastern/Latin American/African,252
2021-11-17,Maori,2773
2021-11-17,European or Other,2902
2021-11-16,Pacific Peoples,2033
2021-11-16,Asian,1218
