LastReportDate,Ethnicity,Cases
2021-10-09,Unknown,37
2021-10-10,Middle Eastern/Latin American/African,175
2021-10-12,Maori,622
2021-10-11,European or Other,1780
2021-10-12,Pacific Peoples,1123
2021-10-11,Asian,967
