LastReportDate,Ethnicity,Cases
2021-09-30,Unknown,27
2021-09-29,Middle Eastern/Latin American/African,174
2021-10-01,Maori,445
2021-09-30,European or Other,1671
2021-09-30,Pacific Peoples,1035
2021-09-30,Asian,939
