LastReportDate,Ethnicity,Cases
2021-09-24,Unknown,28
2021-09-27,Middle Eastern/Latin American/African,173
2021-09-29,Maori,421
2021-09-28,European or Other,1669
2021-09-28,Pacific Peoples,1023
2021-09-28,Asian,934
