LastReportDate,Ethnicity,Cases
2021-08-19,Unknown,22
2021-08-18,Middle Eastern/Latin American/African,153
2021-06-22,Maori,210
2021-08-19,European or Other,1554
2021-08-19,Pacific Peoples,219
2021-08-18,Asian,796
