LastReportDate,Ethnicity,Cases
2021-10-17,Unknown,48
2021-10-15,Middle Eastern/Latin American/African,177
2021-10-17,Maori,742
2021-10-17,European or Other,1865
2021-10-17,Pacific Peoples,1179
2021-10-16,Asian,980
