LastReportDate,Ethnicity,Cases
2021-08-21,Unknown,24
2021-08-19,Middle Eastern/Latin American/African,154
2021-06-22,Maori,210
2021-08-21,European or Other,1565
2021-08-22,Pacific Peoples,260
2021-08-21,Asian,803
