LastReportDate,Ethnicity,Cases
2021-10-20,Unknown,59
2021-10-20,Middle Eastern/Latin American/African,182
2021-10-20,Maori,886
2021-10-21,European or Other,1963
2021-10-21,Pacific Peoples,1228
2021-10-20,Asian,997
