LastReportDate,Ethnicity,Cases
2021-10-18,Unknown,53
2021-10-18,Middle Eastern/Latin American/African,180
2021-10-18,Maori,812
2021-10-19,European or Other,1915
2021-10-19,Pacific Peoples,1202
2021-10-18,Asian,991
