LastReportDate,Ethnicity,Cases
2021-09-16,Unknown,27
2021-09-16,Middle Eastern/Latin American/African,167
2021-09-17,Maori,330
2021-09-16,European or Other,1649
2021-09-17,Pacific Peoples,919
2021-09-17,Asian,922
