LastReportDate,Ethnicity,Cases
2021-11-22,Asian,1268
2021-11-22,European or Other,3051
2021-11-23,Maori,3357
2021-11-23,Middle Eastern/Latin American/African,260
2021-11-23,Pacific Peoples,2324
2021-11-22,Unknown,133
