LastReportDate,Ethnicity,Cases
2021-10-12,Unknown,40
2021-10-12,Middle Eastern/Latin American/African,176
2021-10-13,Maori,649
2021-10-13,European or Other,1789
2021-10-13,Pacific Peoples,1135
2021-10-12,Asian,970
