LastReportDate,Ethnicity,Cases
2021-11-30,Asian,1339
2021-11-30,European or Other,3217
2021-11-30,Maori,4060
2021-11-28,Middle Eastern/Latin American/African,273
2021-11-30,Pacific Peoples,2684
2021-11-30,Unknown,151
