LastReportDate,Ethnicity,Cases
2021-09-11,Unknown,32
2021-09-09,Middle Eastern/Latin American/African,165
2021-09-12,Maori,290
2021-09-12,European or Other,1639
2021-09-12,Pacific Peoples,884
2021-09-12,Asian,903
