LastReportDate,Ethnicity,Cases
2021-11-23,Asian,1284
2021-11-23,European or Other,3081
2021-11-24,Maori,3471
2021-11-23,Middle Eastern/Latin American/African,262
2021-11-24,Pacific Peoples,2382
2021-11-23,Unknown,130
