LastReportDate,Ethnicity,Cases
2021-09-06,Unknown,23
2021-09-04,Middle Eastern/Latin American/African,163
2021-09-06,Maori,269
2021-09-05,European or Other,1634
2021-09-06,Pacific Peoples,834
2021-09-04,Asian,890
