LastReportDate,Ethnicity,Cases
2021-11-03,Unknown,97
2021-11-01,Middle Eastern/Latin American/African,208
2021-11-02,Maori,1538
2021-11-03,European or Other,2409
2021-11-03,Pacific Peoples,1496
2021-11-02,Asian,1084
