LastReportDate,Ethnicity,Cases
2021-10-08,Unknown,35
2021-10-08,Middle Eastern/Latin American/African,174
2021-10-08,Maori,560
2021-10-09,European or Other,1739
2021-10-09,Pacific Peoples,1092
2021-10-08,Asian,963
