LastReportDate,Ethnicity,Cases
2021-11-12,Unknown,97
2021-11-12,Middle Eastern/Latin American/African,238
2021-11-13,Maori,2317
2021-11-13,European or Other,2782
2021-11-12,Pacific Peoples,1859
2021-11-12,Asian,1189
