LastReportDate,Ethnicity,Cases
2021-11-15,Unknown,106
2021-11-15,Middle Eastern/Latin American/African,248
2021-11-15,Maori,2672
2021-11-16,European or Other,2866
2021-11-15,Pacific Peoples,1988
2021-11-15,Asian,1208
