LastReportDate,Ethnicity,Cases
2021-12-05,Asian,1371
2021-12-06,European or Other,3280
2021-12-06,Maori,4369
2021-12-05,Middle Eastern/Latin American/African,293
2021-12-06,Pacific Peoples,2860
2021-12-05,Unknown,159
