LastReportDate,Ethnicity,Cases
2021-10-22,Unknown,60
2021-10-21,Middle Eastern/Latin American/African,188
2021-10-21,Maori,938
2021-10-21,European or Other,2016
2021-10-21,Pacific Peoples,1247
2021-10-21,Asian,1000
