LastReportDate,Ethnicity,Cases
2021-12-04,Unknown,159
2021-12-04,Middle Eastern/Latin American/African,291
2021-12-05,Maori,4301
2021-12-04,European or Other,3267
2021-12-05,Pacific Peoples,2814
2021-12-04,Asian,1364
