LastReportDate,Ethnicity,Cases
2021-09-22,Unknown,33
2021-09-21,Middle Eastern/Latin American/African,168
2021-09-22,Maori,375
2021-09-22,European or Other,1658
2021-09-23,Pacific Peoples,973
2021-09-23,Asian,928
