LastReportDate,Ethnicity,Cases
2021-11-14,Unknown,100
2021-11-14,Middle Eastern/Latin American/African,247
2021-11-15,Maori,2540
2021-11-14,European or Other,2838
2021-11-14,Pacific Peoples,1940
2021-11-14,Asian,1202
