LastReportDate,Ethnicity,Cases
2021-12-14,Asian,1439
2021-12-13,European or Other,3383
2021-12-14,Maori,4736
2021-12-11,Middle Eastern/Latin American/African,310
2021-12-14,Pacific Peoples,3134
2021-12-14,Unknown,66
