LastReportDate,Ethnicity,Cases
2021-09-19,Unknown,32
2021-09-16,Middle Eastern/Latin American/African,167
2021-09-19,Maori,357
2021-09-19,European or Other,1655
2021-09-19,Pacific Peoples,946
2021-09-18,Asian,925
