LastReportDate,Ethnicity,Cases
2021-10-23,Unknown,64
2021-10-22,Middle Eastern/Latin American/African,190
2021-10-22,Maori,983
2021-10-22,European or Other,2052
2021-10-22,Pacific Peoples,1260
2021-10-22,Asian,1006
