LastReportDate,Ethnicity,Cases
2021-08-01,Unknown,18
2021-07-21,Middle Eastern/Latin American/African,142
2021-06-22,Maori,210
2021-08-01,European or Other,1535
2021-07-21,Pacific Peoples,207
2021-08-01,Asian,765
