LastReportDate,Ethnicity,Cases
2021-09-16,Unknown,29
2021-09-13,Middle Eastern/Latin American/African,166
2021-09-15,Maori,328
2021-09-14,European or Other,1644
2021-09-15,Pacific Peoples,913
2021-09-15,Asian,919
