LastReportDate,Ethnicity,Cases
2021-09-02,Unknown,49
2021-09-03,Middle Eastern/Latin American/African,161
2021-09-02,Maori,263
2021-09-02,European or Other,1623
2021-09-03,Pacific Peoples,754
2021-09-03,Asian,879
