LastReportDate,Ethnicity,Cases
2021-11-07,Unknown,128
2021-11-06,Middle Eastern/Latin American/African,220
2021-11-08,Maori,1881
2021-11-07,European or Other,2602
2021-11-07,Pacific Peoples,1674
2021-11-07,Asian,1143
