LastReportDate,Ethnicity,Cases
2021-09-08,Unknown,31
2021-09-09,Middle Eastern/Latin American/African,165
2021-09-09,Maori,272
2021-09-08,European or Other,1637
2021-09-10,Pacific Peoples,862
2021-09-09,Asian,899
