LastReportDate,Ethnicity,Cases
2021-12-02,Asian,1354
2021-12-02,European or Other,3248
2021-12-03,Maori,4181
2021-12-02,Middle Eastern/Latin American/African,279
2021-12-02,Pacific Peoples,2774
2021-12-02,Unknown,157
