LastReportDate,Ethnicity,Cases
2021-10-14,Unknown,46
2021-10-12,Middle Eastern/Latin American/African,176
2021-10-14,Maori,709
2021-10-14,European or Other,1829
2021-10-14,Pacific Peoples,1161
2021-10-14,Asian,976
