LastReportDate,Ethnicity,Cases
2021-10-06,Unknown,42
2021-09-29,Middle Eastern/Latin American/African,172
2021-10-07,Maori,519
2021-10-07,European or Other,1711
2021-10-06,Pacific Peoples,1079
2021-10-05,Asian,957
